asn	org_name	count
AS15169	Google LLC	3713
AS13335	Cloudflare, Inc.	1454
AS16509	Amazon.com, Inc.	1065
AS32934	Facebook, Inc.	876
AS3462	Data Communication Business Group	566
AS396982	Google LLC	496
AS54113	Fastly, Inc.	306
AS16625	Akamai Technologies, Inc.	286
AS8075	Microsoft Corporation	198
AS1659	Taiwan Academic Network (TANet) Information Center	180
AS20940	Akamai International B.V.	97
AS4782	Data Communication Business Group	94
AS9919	New Century InfoComm Tech Co., Ltd.	66
AS9924	Taiwan Fixed Network, Telco and Network Service Provider.	62
AS2635	Automattic, Inc	45
AS31898	Oracle Corporation	45
AS19551	Incapsula Inc	35
AS38627	Baidu, Inc.	35
AS21859	Zenlayer Inc	33
AS24376	Yahoo China Datacenter	33
AS38033	internet content provider	33
AS63949	Akamai Connected Cloud	31
AS18182	Sony Network Taiwan Limited	22
AS24429	Zhejiang Taobao Network Co.,Ltd	20
AS131149	Yuan-Jhen Info., Co., Ltd	18
AS7532	Gamania CloudForce	16
AS17408	AboveNet Communications Taiwan	15
AS19527	Google LLC	14
AS209242	Cloudflare London, LLC	14
AS132203	Tencent Building, Kejizhongyi Avenue	13
AS14618	Amazon.com, Inc.	13
AS24158	Taiwan Mobile Co., Ltd.	13
AS45102	Alibaba (US) Technology Co., Ltd.	13
AS150436	Byteplus Pte. Ltd.	12
AS60068	Datacamp Limited	11
AS24154	Asia Pacific Broadband Fixed Lines Co., Ltd.	10
AS38843	PUMO NETWORK DIGITAL TECHNOLOGY CO.,LTD	10
AS24506	Yahoo Global Holdings B.V. Taiwan Branch	9
AS20454	SECURED SERVERS LLC	8
AS55569	Criteo APAC	8
AS55967	Beijing Baidu Netcom Science and Technology Co., Ltd.	8
AS14061	DigitalOcean, LLC	7
AS4780	Digital United Inc.	7
AS7539	National Center for High-performance Computing	7
AS16276	OVH SAS	6
AS20473	The Constant Company, LLC	6
AS207522	myGaru global	6
AS138341	SHOPEE SINGAPORE PRIVATE LIMITED	5
AS17416	DWINS Digital Service Corp.,	5
AS18410	104 Information Technology Co., Ltd.	5
AS38631	LY Corporation	5
AS58521	Garena Online Pte Ltd	5
AS9264	Academia Sinica	5
AS131623	SHOPEE (TAIWAN) CO. LTD.	4
AS131628	Tai-Fu Cloud Co., Ltd.	4
AS140633	BILIBILI HK LIMITED	4
AS152194	CTG Server Limited	4
AS17420	Acer e-Enabling Data Center, Inc.	4
AS17716	National Taiwan University	4
AS18042	Koos Broadband Telecom	4
AS18183	National Center for Research on Earthquake Engineering	4
AS29789	Reflected Networks, Inc.	4
AS396356	Latitude.sh	4
AS50867	HOSTKEY B.V.	4
AS62610	Zenlayer Inc	4
AS7483	Skycloud Computing co., Ltd.	4
AS131657	Hong Da Storage Equipment Co., Ltd.	3
AS17710	President Information Corp.	3
AS18420	National Central University	3
AS18422	Industrial Technology Research Institute	3
AS206834	Team Internet AG	3
AS24940	Hetzner Online GmbH	3
AS29990	Xandr Inc.	3
AS32097	WholeSale Internet, Inc.	3
AS37963	Hangzhou Alibaba Advertising Co.,Ltd.	3
AS40027	Netflix Streaming Services Inc.	3
AS4134	CHINANET-BACKBONE	3
AS4837	CHINA UNICOM China169 Backbone	3
AS61157	PlusServer GmbH	3
AS7979	Servers.com, Inc.	3
AS9671	Trade-Van Informaiton Services Co.	3
AS131584	Taiwan Intelligent Fiber Optic Network Co.,Ltd.	2
AS138552	RTB HOUSE PTE. LTD.	2
AS139341	ACE	2
AS14907	Wikimedia Foundation Inc.	2
AS18181	National Health Research Institutes	2
AS18978	Enzu Inc	2
AS212772	AdGuard Software Limited	2
AS23576	NAVER Cloud Corp.	2
